ULAN,ID_WIKIDATA,ConstituentID,DisplayName,ArtistBio,Nationality,pays,Gender,BeginDate,EndDate,datenaissance,datemort
,,136,Dag Alveng,"Norwegian, born 1953",Norwegian,Norway,Male,1953,,,
500006302,Q325200,137,Getulio Alviani,"Italian, born 1939",Italian,Italy,Male,1939,,1939-09-05T00:00:00Z,2018-02-24T00:00:00Z
500012380,Q576570,138,Edmond-François Aman Jean,"French, 1858–1936",French,France,Male,1858,1936,,
,,139,Kunihiro Amano,Japanese,Japanese,Japan,Male,0,,,
,,140,Jim Amaral,"American, born 1933",American,United States,Male,1933,,,
500016432,Q655905,141,Emilio Ambasz,"Argentine, born 1943",Argentine,Argentina,Male,1943,,1943-06-13T00:00:00Z,
,,142,M. Ameen,Nationality unknown,Nationality unknown,Nationality unknown,,0,,,
,Q6074464,143,Irving Amen,"American, 1918–2011",American,United States,Male,1918,2011,1918-07-25T00:00:00Z,2011-01-01T00:00:00Z
,,144,Woody van Amen,"Dutch, born 1936",Dutch,Netherlands,Male,1936,,,
,,145,Gregory Amenoff,"American, born 1948",American,United States,Male,1948,,,
,,148,Florencia de Amesti,"Chilean, 1925–2006",Chilean,Chile,Female,1925,2006,,
500005153,Q566797,149,Cuno Amiet,"Swiss, 1868–1961",Swiss,Switzerland,Male,1868,1961,,
,,150,Francisco Amighetti Ruiz,"Costa Rican, 1907–1998",Costa Rican,Costa Rica,Male,1907,1998,,
,,152,Ralph Ammirati,American,American,United States,Male,0,,,
500124746,Q5372719,153,Emma Amos,"American, 1937–2020",American,United States,Female,1937,2020,,
,,154,Mauricio Amster Cats,"Chilean, born Lvov, 1907–1980",Chilean,Chile,Male,1907,1980,,
500056778,Q15459073,155,William Anastasi,"American, born 1933",American,United States,Male,1933,,,
,,157,Stephen Ancona,"American, born 1932",American,United States,Male,1932,,,
,,158,Jiþi Anderle,"Czech, born 1936",Czech,Czech Republic,Male,1936,,,
,,159,Gunnar Aagaard Andersen,"Danish, 1919–1982",Danish,Denmark,Male,1919,1982,,
,,160,Karin Schou Andersen,"Danish, born 1953",Danish,Denmark,Female,1953,,,
,,161,Clarence William Anderson,"American, 1891–1971",American,United States,Male,1891,1971,,
,Q1036742,162,Carl Anderson,"American, 1903–1989",American,United States,Male,1903,1989,,
,,163,Dennis Anderson,"American, born 1948",American,United States,Male,1948,,,
,,164,Jeremy Anderson,"American, 1921–1982",American,United States,Male,1921,1982,,
500001454,Q3160907,165,James Anderson,"British, 1813–1877",British,United Kingdom,Male,1813,1877,,
,,166,Jerry Anderson,"American, born 1938",American,United States,Male,1938,,,
,,167,John Anderson,"British, 1928–2021",British,United Kingdom,Male,1928,2021,,
,,168,Neil Anderson,"American, born 1933",American,United States,Male,1933,,,
500065743,Q7152029,169,Paul L. Anderson,"American, 1880–1956",American,United States,Male,1880,1956,,
,,170,Monika Andersson,"Swedish, born 1957",Swedish,Sweden,Female,1957,,,
,,172,Joe Andoe,"American, born 1955",American,United States,Male,1955,,,
,,173,Farnese de Andrade-Neto,"Brazilian, 1926–1996",Brazilian,Brazil,Male,1926,1996,,
500011651,Q315348,174,Carl Andre,"American, born 1935",American,United States,Male,1935,,,
,,175,Pat Andrea,"Dutch, born 1942",Dutch,Netherlands,Male,1942,,,
,,176,A. Andreas,French,French,France,,0,,,
,,177,Henning Andreasen,"Danish, born 1923",Danish,Denmark,Male,1923,,,
,Q6498623,178,Laura Andreson,"American, 1902–1999",American,United States,Female,1902,1999,1902-01-01T00:00:00Z,1999-01-01T00:00:00Z
,Q6498623,178,Laura Andreson,"American, 1902–1999",American,United States,Female,1902,1999,1902-01-01T00:00:00Z,1999-08-16T00:00:00Z
,Q6762305,179,Mariano Andreù,"Spanish, 1888–1976",Spanish,Spain,Male,1888,1976,1888-04-10T00:00:00Z,1976-03-28T00:00:00Z
500111179,Q4889934,180,Benny Andrews,"American, 1930–2006",American,United States,Male,1930,2006,1930-11-13T00:00:00Z,2006-11-10T00:00:00Z
,Q530883,181,Emmy Andriesse,"Dutch, 1914–1953",Dutch,Netherlands,Female,1914,1953,,
,,182,Claudia Andujar,"Brazilian, born Switzerland 1931",American,United States,Female,1931,,,
,Q5994858,183,Manuel Angeles Ortiz,"Spanish, 1896–1984",Spanish,Spain,Male,1895,1984,,
,,184,Ludwig Angerer,"Austrian, 1827–1879",Austrian,Austria,Male,1827,1879,,
,,185,Bruce Angrave,British,British,United Kingdom,Male,0,,,
500061635,Q325503,186,Raúl Anguiano,"Mexican, 1915–2006",Mexican,Mexico,Male,1915,2006,,
,,188,Sibyl Anikeef,"American, 1896–1996",American,United States,Female,1896,1996,,
500016620,Q2138560,189,James Craig Annan,"British, 1864–1946",British,United Kingdom,Male,1864,1946,,
500010588,Q1926294,190,Thomas Annan,"British, 1829–1887",British,United Kingdom,Male,1829,1887,,
,,193,David Annesley,"British, born 1936",British,United Kingdom,Male,1936,,,
500010821,Q446519,194,Horst Antes,"German, born 1936",German,Germany,Male,1936,,,
,,195,William Anthony,"American, born 1934",American,United States,Male,1934,,,
500091275,Q15429571,196,Stephen Antonakos,"American, 1926–2013",American,United States,Male,1926,2013,,
,,198,Garo Antreasian,"American, 1922–2018",American,United States,Male,1922,2018,,
,,199,Nemesio Antúnez,"Chilean, 1918–1993",Chilean,Chile,Male,1918,1993,,
500025580,Q558505,200,Richard Anuszkiewicz,"American, 1930–2020",American,United States,Male,1930,2020,,
,,201,Aoki Toshio,,,Nationality unknown,,0,,,
,Q86699309,202,Carl Apfelschnitt,"American, born 1948",American,United States,Male,1948,,1948-01-01T00:00:00Z,1990-05-31T00:00:00Z
500030857,Q152793,203,Karel Appel,"Dutch, 1921–2006",Dutch,Netherlands,Male,1921,2006,,
,,204,Leon Appelbaum,American,American,United States,Male,0,,,
500091955,Q1488149,205,Ida Applebroog,"American, born 1929",American,United States,Female,1929,,,
500123705,Q478264,207,Shusaku Arakawa,"American, born Japan. 1936–2010",American,United States,Male,1936,2010,1936-07-06T00:00:00Z,2010-05-18T00:00:00Z
500012758,Q234608,208,Diane Arbus,"American, 1923–1971",American,United States,Female,1923,1971,,
500022523,Q157578,209,Alexander Archipenko,"American, born Ukraine. 1887–1964",American,United States,Male,1887,1964,,
500030956,Q631835,211,Mordecai Ardon,"Israeli, born Poland. 1896–1992",Israeli,Israel,Male,1896,1992,1896-07-13T00:00:00Z,1992-06-18T00:00:00Z
,,212,Luis Arenal,"Mexican, 1909–1985",Mexican,Mexico,Male,1909,1985,,
500125347,Q1298270,214,Egmont Arens,"American, 1888–1966",American,United States,Male,1888,1966,,
,,215,Tamotsu Arikawa,Japanese,Japanese,Japan,Male,0,,,
,,216,Avigdor Arikha,"Romanian, 1929–2010",Romanian,Romania,Male,1929,2010,,
,,217,Gonzalo Ariza,"Colombian, 1912–1995",Colombian,Colombia,Male,1912,1995,,
,,218,Alda Maria Armagni,Argentine,Argentine,Argentina,Female,0,,,
500020843,Q325184,219,Siah Armajani,"American, born Iran. 1939–2020",American,United States,Male,1939,2020,,
500003632,Q367973,220,Arman,"American, born France. 1928–2005",American,United States,Male,1928,2005,,
,,221,Armando,"Dutch, born 1929",Dutch,Netherlands,Male,1929,,,
,,222,F. Armbruster,"French, 1835–1912",French,France,Male,1835,1912,,
500008896,Q659535,224,Kenneth Armitage,"British, 1916–2002",British,United Kingdom,Male,1916,2002,,
500022283,Q6260399,225,John Taylor Arms,"American, 1887–1953",American,United States,Male,1887,1953,,
500027012,Q19325186,226,John Armstrong,"British, 1893–1973",British,United Kingdom,Male,1893,1973,1893-11-14T00:00:00Z,1973-05-19T00:00:00Z
,,227,François Arnal,"French, 1924–2012",French,France,Male,1924,2012,,
,,228,Arndt,"German, 1898–1976",German,Germany,,1898,1976,,
500008199,Q322030,229,Eugène Atget,"French, 1857–1927",French,France,Male,1857,1927,,
500011141,Q20200670,230,John Atherton,"American, 1900–1952",American,United States,Male,1900,1952,,
,,231,Anna Atkins,"British, 1799–1871",British,United Kingdom,Female,1799,1871,,
,,232,Conrad Atkinson,"British, born 1940",British,United Kingdom,Male,1940,,,
500002487,Q4072108,233,Lawrence Atkinson,"British, 1873–1931",British,United Kingdom,Male,1873,1931,,
500012421,Q325740,234,Terry Atkinson,"British, born 1939",British,United Kingdom,Male,1939,,,
500055885,Q689646,235,Jean-Michel Atlan,"French, born Algeria. 1913–1960",French,France,Male,1913,1960,,
500024829,Q5299500,236,Dotty Attie,"American, born 1938",American,United States,Female,1938,,,
,,238,Carl Auböck,"Austrian, 1924–1993",Austrian,Austria,Male,1924,1993,,
,,239,Charles Aubry,"French, 1811–1877",French,France,Male,1811,1877,,
500023601,Q215919,240,Frank Auerbach,"British, born Germany 1931. To England 1939.",British,United Kingdom,Male,1931,,,
,Q8867,241,Gae Aulenti,"Italian, 1930–2012",Italian,Italy,Female,1930,2012,,
,,242,Keith James Aulik,"American, 1918–1999",American,United States,Male,1918,1999,,
500005655,Q2282231,243,George Ault,"American, 1891–1948",American,United States,Male,1891,1948,,
,,245,Irving Austin,American,American,United States,Male,0,,,
,,246,Mario Avati,"Italian, 1921–2009",Italian,Italy,Male,1921,2009,,
500004353,Q5341650,247,Edward Avedisian,"American, 1936–2007",American,United States,Male,1936,2007,,
500013773,Q305497,248,Richard Avedon,"American, 1923–2004",American,United States,Male,1923,2004,,
,Q43126914,249,Frances Avery,"American, born Canada. 1910–2006",American,United States,Female,1910,2006,1910-01-01T00:00:00Z,2006-01-01T00:00:00Z
500002713,Q2714574,250,Milton Avery,"American, 1885–1965",American,United States,Male,1885,1965,,
,,251,David Avison,"American, 1937–2004",American,United States,Male,1937,2004,,
